timestamp,book,pnl,session,explanation
2024-05-01T05:32:57,EM/C3,-76126.15188125576,ASIA,
2024-05-01T14:31:23,EM/C3,33594.63534176824,LONDON,
2024-05-01T16:15:03,EM/C3,-1743546.1841182476,NEW YORK,New book with large absolute PNL
2024-05-01T22:07:01,EM/C3,21301.205548029393,EOD,
2024-05-01T07:39:23,EM/Greater China,-26907.454203738962,ASIA,
2024-05-01T13:52:29,EM/Greater China,-6229.356137742405,LONDON,
2024-05-01T19:48:48,EM/Greater China,-42707.41776778204,NEW YORK,
2024-05-01T22:31:39,EM/Greater China,-26526.109473126213,EOD,
2024-05-01T03:26:56,EM/LATAM,46224.21063958504,ASIA,
2024-05-01T08:42:39,EM/LATAM,4254.492047743057,LONDON,
2024-05-01T18:18:46,EM/LATAM,-93174.47939869705,NEW YORK,
2024-05-01T22:29:09,EM/LATAM,-44607.97109976444,EOD,
2024-05-01T04:36:26,EM/CEEMEA,-27245.375182270844,ASIA,
2024-05-01T13:23:30,EM/CEEMEA,-40540.13747733838,LONDON,
2024-05-01T19:58:34,EM/CEEMEA,67683.70360656711,NEW YORK,
2024-05-01T22:24:10,EM/CEEMEA,37497.51747956674,EOD,
2024-05-01T04:10:03,EM/ASEAN,-88628.43750452987,ASIA,
2024-05-01T10:20:33,EM/ASEAN,34453.94526265378,LONDON,
2024-05-01T21:58:27,EM/ASEAN,6224742.923143584,NEW YORK,New book with large absolute PNL
2024-05-01T22:25:37,EM/ASEAN,92848.90472756737,EOD,
2024-05-01T06:18:09,G10/Special Exotics,51744.34039750308,ASIA,
2024-05-01T15:49:10,G10/Special Exotics,-3899368.703713728,LONDON,New book with large absolute PNL
2024-05-01T21:22:30,G10/Special Exotics,-76154.90987744731,NEW YORK,
2024-05-01T22:24:06,G10/Special Exotics,19876.375349576803,EOD,
2024-05-01T05:39:08,G10/EURO,-2133.6234645986697,ASIA,
2024-05-01T14:17:10,G10/EURO,-46170.60228112322,LONDON,
2024-05-01T18:25:35,G10/EURO,-50562.3791172018,NEW YORK,
2024-05-01T22:33:22,G10/EURO,47809.2664209762,EOD,
2024-05-01T01:36:01,G10/CAD,-27034.290828956626,ASIA,
2024-05-01T13:18:00,G10/CAD,-9684.752078600795,LONDON,
2024-05-01T21:42:50,G10/CAD,57431.10441620633,NEW YORK,
2024-05-01T22:06:13,G10/CAD,15088.10063359511,EOD,
2024-05-01T07:12:49,G10/Pacific G10,29615.013288129077,ASIA,
2024-05-01T09:58:40,G10/Pacific G10,-6227278.967723262,LONDON,New book with large absolute PNL
2024-05-01T16:55:16,G10/Pacific G10,-48996.833581104984,NEW YORK,
2024-05-01T22:12:39,G10/Pacific G10,5972149.485146698,EOD,New book with large absolute PNL
2024-05-01T00:16:54,G10/Scandies,-47208.53694253731,ASIA,
2024-05-01T08:40:09,G10/Scandies,-74594.55822403311,LONDON,
2024-05-01T17:02:33,G10/Scandies,-7546980.732776556,NEW YORK,New book with large absolute PNL
2024-05-01T22:24:34,G10/Scandies,80004.56037277207,EOD,
2024-05-01T00:42:08,PM/Metals,-67443.96297401738,ASIA,
2024-05-01T14:38:43,PM/Metals,-95696.09146765013,LONDON,
2024-05-01T20:19:13,PM/Metals,20311.551077599826,NEW YORK,
2024-05-01T22:04:53,PM/Metals,-89421.0020154352,EOD,
2024-05-01T03:57:41,PM/EFP,-89000.30989647357,ASIA,
2024-05-01T13:10:53,PM/EFP,-33773.681681074435,LONDON,
2024-05-01T20:11:24,PM/EFP,77430.16883629083,NEW YORK,
2024-05-01T22:34:37,PM/EFP,-91103.35248352725,EOD,
2024-05-01T00:53:17,Onshore/India Onshore,-20998.85613162085,ASIA,
2024-05-01T14:31:22,Onshore/India Onshore,18820.37489954807,LONDON,
2024-05-01T18:52:53,Onshore/India Onshore,-54219.053770088976,NEW YORK,
2024-05-01T22:05:28,Onshore/India Onshore,-4280162.058986445,EOD,New book with large absolute PNL
2024-05-01T06:20:26,Onshore/China Onshore,40990.44947899689,ASIA,
2024-05-01T14:59:09,Onshore/China Onshore,-7807761.697521396,LONDON,New book with large absolute PNL
2024-05-01T18:18:45,Onshore/China Onshore,80979.40017283577,NEW YORK,
2024-05-01T22:05:17,Onshore/China Onshore,77051.44451545543,EOD,
2024-05-01T03:29:40,Onshore/Malaysia Onshore,-176.39557507866994,ASIA,
2024-05-01T14:58:11,Onshore/Malaysia Onshore,-63832.204658131974,LONDON,
2024-05-01T21:51:41,Onshore/Malaysia Onshore,-24618.020408139477,NEW YORK,
2024-05-01T22:04:11,Onshore/Malaysia Onshore,2153.84935898229,EOD,
2024-05-01T03:20:44,Inventory/Desk Inventory,21657.468974665564,ASIA,
2024-05-01T11:27:48,Inventory/Desk Inventory,-30346.386952516812,LONDON,
2024-05-01T17:22:53,Inventory/Desk Inventory,-55508.13414527848,NEW YORK,
2024-05-01T22:18:06,Inventory/Desk Inventory,-33403.76629514909,EOD,
2024-05-01T03:30:57,Inventory/Operational Books,5096.15415508415,ASIA,
2024-05-01T11:14:04,Inventory/Operational Books,74981.6905540663,LONDON,
2024-05-01T19:39:40,Inventory/Operational Books,-71874.14539582975,NEW YORK,
2024-05-01T22:39:28,Inventory/Operational Books,-18463.285212345014,EOD,
2024-05-02T00:18:22,EM/C3,886.5313861869217,ASIA,
2024-05-02T13:47:46,EM/C3,65746.55968008249,LONDON,
2024-05-02T21:57:10,EM/C3,-43307.246135408415,NEW YORK,
2024-05-02T22:46:56,EM/C3,47607.33639138509,EOD,
2024-05-02T06:17:19,EM/Greater China,46242.78295485591,ASIA,
2024-05-02T11:30:13,EM/Greater China,4859.485716927622,LONDON,
2024-05-02T17:28:38,EM/Greater China,82311.6293480745,NEW YORK,
2024-05-02T22:29:14,EM/Greater China,65747.60675349142,EOD,
2024-05-02T06:16:14,EM/LATAM,24352.84135741918,ASIA,
2024-05-02T10:37:03,EM/LATAM,-27050.70912776522,LONDON,
2024-05-02T17:48:10,EM/LATAM,-9948.368427978377,NEW YORK,
2024-05-02T22:57:31,EM/LATAM,-58911.69005314809,EOD,
2024-05-02T02:37:18,EM/CEEMEA,24061.225373470603,ASIA,
2024-05-02T14:10:07,EM/CEEMEA,3469.4119524075795,LONDON,
2024-05-02T20:39:04,EM/CEEMEA,-8019264.761779429,NEW YORK,New book with large absolute PNL
2024-05-02T22:07:06,EM/CEEMEA,-9633241.79572675,EOD,New book with large absolute PNL
2024-05-02T00:16:09,EM/ASEAN,-77294.34768098296,ASIA,
2024-05-02T13:40:39,EM/ASEAN,50235.78606543262,LONDON,
2024-05-02T18:57:12,EM/ASEAN,-85905.45284191369,NEW YORK,
2024-05-02T22:17:22,EM/ASEAN,34553.48266975794,EOD,
2024-05-02T07:11:34,G10/Special Exotics,7083.239225385303,ASIA,
2024-05-02T10:51:43,G10/Special Exotics,7608.618520623684,LONDON,
2024-05-02T17:57:55,G10/Special Exotics,25599.12460557687,NEW YORK,
2024-05-02T22:35:17,G10/Special Exotics,-11974.36557569464,EOD,
2024-05-02T05:26:49,G10/EURO,96000.60951982054,ASIA,
2024-05-02T14:16:07,G10/EURO,68198.53075339165,LONDON,
2024-05-02T19:51:25,G10/EURO,-96133.36650355751,NEW YORK,
2024-05-02T22:43:04,G10/EURO,-4874071.3658261495,EOD,New book with large absolute PNL
2024-05-02T00:21:02,G10/CAD,33713.560873596405,ASIA,
2024-05-02T13:03:08,G10/CAD,14439.565837748683,LONDON,
2024-05-02T20:19:41,G10/CAD,36757.02349329737,NEW YORK,
2024-05-02T22:08:12,G10/CAD,1493.4907539509586,EOD,
2024-05-02T07:59:43,G10/Pacific G10,75393.9315216142,ASIA,
2024-05-02T08:24:01,G10/Pacific G10,6813.4714053638745,LONDON,
2024-05-02T17:51:47,G10/Pacific G10,19946.503238158053,NEW YORK,
2024-05-02T22:10:56,G10/Pacific G10,-73558.11488631106,EOD,
2024-05-02T05:22:31,G10/Scandies,26981.079552829673,ASIA,
2024-05-02T09:16:13,G10/Scandies,-71499.31668443122,LONDON,
2024-05-02T18:49:48,G10/Scandies,53208.99523300977,NEW YORK,
2024-05-02T22:23:59,G10/Scandies,-55961.51953178834,EOD,
2024-05-02T06:37:43,PM/Metals,-13951.046691398165,ASIA,
2024-05-02T13:58:41,PM/Metals,-23365.94422797463,LONDON,
2024-05-02T18:39:27,PM/Metals,62688.59059169708,NEW YORK,
2024-05-02T22:25:05,PM/Metals,-49337.969585618244,EOD,
2024-05-02T07:46:58,PM/EFP,-4380.184629510171,ASIA,
2024-05-02T08:33:40,PM/EFP,-51885.50486932522,LONDON,
2024-05-02T16:40:49,PM/EFP,-18001.020151439632,NEW YORK,
2024-05-02T22:43:34,PM/EFP,-46391.00143327839,EOD,
2024-05-02T01:24:39,Onshore/India Onshore,-26372.289306842635,ASIA,
2024-05-02T14:24:14,Onshore/India Onshore,-76875.00235595286,LONDON,
2024-05-02T20:31:35,Onshore/India Onshore,44315.546808406245,NEW YORK,
2024-05-02T22:43:32,Onshore/India Onshore,-95299.07884169089,EOD,
2024-05-02T02:12:16,Onshore/China Onshore,4504.373420261691,ASIA,
2024-05-02T10:36:11,Onshore/China Onshore,-17183.853661862508,LONDON,
2024-05-02T21:45:22,Onshore/China Onshore,66386.85271575765,NEW YORK,
2024-05-02T22:41:41,Onshore/China Onshore,51589.10672192043,EOD,
2024-05-02T05:47:14,Onshore/Malaysia Onshore,-1690.6240154559637,ASIA,
2024-05-02T12:48:45,Onshore/Malaysia Onshore,22339.680641704603,LONDON,
2024-05-02T16:14:05,Onshore/Malaysia Onshore,72333.88149564073,NEW YORK,
2024-05-02T22:20:41,Onshore/Malaysia Onshore,38241.74079217354,EOD,
2024-05-02T05:15:18,Inventory/Desk Inventory,7165356.20128458,ASIA,New book with large absolute PNL
2024-05-02T08:21:46,Inventory/Desk Inventory,-11785.88161207641,LONDON,
2024-05-02T18:16:22,Inventory/Desk Inventory,84367.29174744582,NEW YORK,
2024-05-02T22:07:22,Inventory/Desk Inventory,82883.8681307626,EOD,
2024-05-02T07:50:25,Inventory/Operational Books,-50962.07082201783,ASIA,
2024-05-02T13:48:46,Inventory/Operational Books,-33018.022710980425,LONDON,
2024-05-02T18:03:32,Inventory/Operational Books,11798.57160751641,NEW YORK,
2024-05-02T22:10:52,Inventory/Operational Books,42612.896574782935,EOD,
2024-05-03T05:36:45,EM/C3,-6777.426641181388,ASIA,
2024-05-03T09:53:39,EM/C3,-20721.90795554711,LONDON,
2024-05-03T19:32:21,EM/C3,32993.31227194716,NEW YORK,
2024-05-03T22:42:28,EM/C3,13766.607447875504,EOD,
2024-05-03T04:34:39,EM/Greater China,-45697.61167128368,ASIA,
2024-05-03T11:00:14,EM/Greater China,-89862.20517256316,LONDON,
2024-05-03T19:34:25,EM/Greater China,53852.045548464,NEW YORK,
2024-05-03T22:49:20,EM/Greater China,-53879.870126125825,EOD,
2024-05-03T07:34:22,EM/LATAM,18211.366361174732,ASIA,
2024-05-03T12:37:06,EM/LATAM,5019.1482818837685,LONDON,
2024-05-03T17:04:24,EM/LATAM,-11343.389016270987,NEW YORK,
2024-05-03T22:55:10,EM/LATAM,-60416.149702822695,EOD,
2024-05-03T04:48:43,EM/CEEMEA,89271.28683842224,ASIA,
2024-05-03T15:27:00,EM/CEEMEA,56354.0911457371,LONDON,
2024-05-03T20:27:33,EM/CEEMEA,24679.94912209746,NEW YORK,
2024-05-03T22:24:54,EM/CEEMEA,53032.44234946015,EOD,
2024-05-03T07:20:24,EM/ASEAN,63103.0263789139,ASIA,
2024-05-03T13:36:50,EM/ASEAN,26503.940295377033,LONDON,
2024-05-03T16:08:06,EM/ASEAN,-19264.621054055315,NEW YORK,
2024-05-03T22:37:01,EM/ASEAN,-31998.42673806878,EOD,
2024-05-03T05:18:10,G10/Special Exotics,-78855.64072391935,ASIA,
